model,accuracy,precision,recall,f1,roc_auc,run_timestamp
LogisticRegression,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9642857142857143,2026-05-10 16:16:21
RandomForest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9556277056277057,2026-05-10 16:16:21
GradientBoosting,0.8360655737704918,0.875,0.75,0.8076923076923077,0.9177489177489178,2026-05-10 16:16:21
